Code,Title,Credits,Prereqs,Day,Begin,End,Division,Term,Professor
WRTG 105-04,What Is Human Nature?,4.0,,MW,1230 PM,145 PM,WRTG,Fall,Adam Stauffer
WRTG 105-06,"Being Homo Sapiens: The Brain, The Mind, The Heart and Full Catastrophe",4.0,,TR,1230 PM,145 PM,WRTG,Fall,Stella Wang
WRTG 105-08,Video Games & Play,4.0,,MW,200 PM,315 PM,WRTG,Fall,Kristana Textor
WRTG 105-10,Venturing Out: Making Meaning and Finding Adventure in the Outdoors,4.0,,TR,940 AM,1055 AM,WRTG,Fall,Justin Coyne
WRTG 105-11,Queer and Trans* Narratives: From Memoire to Metaphor,4.0,,TR,325 PM,440 PM,WRTG,Fall,Liam Kusmierek
WRTG 105-13,Realms of Fantasy,4.0,,MW,900 AM,1015 AM,WRTG,Fall,Daniel Kephart
WRTG 105-14,"Man, Machine, and Morality",4.0,,MW,1230 PM,145 PM,WRTG,Fall,James Otis
WRTG 105-15,Belonging,4.0,,TR,940 AM,1055 AM,WRTG,Fall,Xinyue Wang
WRTG 105-16,Impacts of Engineering,4.0,,TR,1105 AM,1220 PM,WRTG,Fall,Lisabeth Tinelli
WRTG 105-19,American Horror Stories,4.0,,TR,940 AM,1055 AM,WRTG,Fall,Dustin Hannum
WRTG 105-20,"""Reality"" TV",4.0,,MW,325 PM,440 PM,WRTG,Fall,Claire Becker
WRTG 105-21,"Utopia on the Page, in Practice, and in Theory",4.0,,MW,325 PM,440 PM,WRTG,Fall,Claire Corbeaux
WRTG 105-23,The Role of Aesthetics in Sympathy,4.0,,MW,1230 PM,145 PM,WRTG,Fall,Yash Chitrakar
WRTG 105-24,Citizenship: Concepts and Experiences,4.0,,MW,1025 AM,1140 AM,WRTG,Fall,Huimin Li
WRTG 105-27,AI and Education,4.0,,TR,325 PM,440 PM,WRTG,Fall,One Mushi
WRTG 105-30,The Meaning of Life,4.0,,TR,940 AM,1055 AM,WRTG,Fall,Adam Stauffer
WRTG 105-31,American Horror Stories,4.0,,TR,1105 AM,1220 PM,WRTG,Fall,Dustin Hannum
WRTG 105-32,What is Human Nature?,4.0,,MW,1025 AM,1140 AM,WRTG,Fall,Adam Stauffer
WRTG 105-33,Uncertainty,4.0,,TR,200 PM,315 PM,WRTG,Fall,Kathryn Phillips
WRTG 105-34,Problems in Authority and Expertise,4.0,,MW,615 PM,730 PM,WRTG,Fall,Rob Rich
WRTG 105-35,Venturing Out: Making Meaning and Finding Adventure in the Outdoors,4.0,,TR,1230 PM,145 PM,WRTG,Fall,Justin Coyne
WRTG 105-37,Monsters Everywhere,4.0,,TR,940 AM,1055 AM,WRTG,Fall,Harry Golborn
WRTG 105-39,A Beast of a Trope: Examining the Beauty and the Beast Trope in Media,4.0,,TR,200 PM,315 PM,WRTG,Fall,Abbie Boudreaux
WRTG 105-41,The Values and Ethics of Language,4.0,,TR,200 PM,315 PM,WRTG,Fall,Zachary Barber
WRTG 105-42,Comics and Culture,4.0,,MW,200 PM,315 PM,WRTG,Fall,Karl Mohn
WRTG 105-43,Our Different Mirrors: Multitude in the American Experience,4.0,,MW,450 PM,605 PM,WRTG,Fall,Micah Williams
WRTG 105-44,"“Posthuman” Future: The Intersection of A.I., Identity, and Ethics",4.0,,MW,1150 AM,105 PM,WRTG,Fall,Adma Gama-Krummel
WRTG 105-45,"Writing, Photography and Artificial Intelligence",4.0,,MW,1150 AM,105 PM,WRTG,Fall,Md Mamunur Rashid
WRTG 105-46,Know Thyself: The Idea of Humanity,4.0,,MW,450 PM,605 PM,WRTG,Fall,Diana Davis
WRTG 105-47,The Self-Help Genre: From Confucius to Contemporary Culture,4.0,,TR,325 PM,440 PM,WRTG,Fall,Abdullah Shaikh
WRTG 105-49,Korean Popular Culture on the Global Stage,4.0,,MW,900 AM,1015 AM,WRTG,Fall,Michael Ormsbee
WRTG 105-50,Dis/Enchantment,4.0,,MW,1150 AM,105 PM,WRTG,Fall,Michael Ormsbee
WRTG 105-51,Telling Stories on the Internet,4.0,,MW,200 PM,315 PM,WRTG,Fall,Michael Ormsbee
WRTG 105-52,Let's Do the Time Warp Again,4.0,,MW,1025 AM,1140 AM,WRTG,Fall,Emily Lowman
WRTG 105-53,Let's Do the Time Warp Again,4.0,,MW,1150 AM,105 PM,WRTG,Fall,Emily Lowman
WRTG 105-02,Citizenship: Concepts and Experiences,4.0,,MW,1025 AM,1140 AM,WRTG,Spring,Huimin Li
WRTG 105-03,Expression at Large: The Arts in the Age of Social Media,4.0,,MW,450 PM,605 PM,WRTG,Spring,Orisa Morrice
WRTG 105-04,Academic Writing and the Ethics of Language,4.0,,TR,940 AM,1055 AM,WRTG,Spring,Zachary Barber
WRTG 105-05,Monsters Everywhere,4.0,,TR,940 AM,1055 AM,WRTG,Spring,Harry Golborn
WRTG 105-06,Being Homo Sapiens,4.0,,TR,1230 PM,145 PM,WRTG,Spring,Stella Wang
WRTG 105-07,"Utopia on the Page, in Practice, and in Theory",4.0,,MW,325 PM,440 PM,WRTG,Spring,Claire Corbeaux
WRTG 105-08,Queer and Trans* Narratives: From Memoire to Metaphor,4.0,,TR,940 AM,1055 AM,WRTG,Spring,Liam Kusmierek
WRTG 105-09,Our Different Mirrors: Multitude in the American Experience,4.0,,MW,450 PM,605 PM,WRTG,Spring,Micah Williams
WRTG 105-10,Venturing Out: Making Meaning and Finding Adventure in the Outdoors,4.0,,MW,900 AM,1015 AM,WRTG,Spring,Justin Coyne
WRTG 105-12,Being Homo Sapiens,4.0,,TR,325 PM,440 PM,WRTG,Spring,Stella Wang
WRTG 105-13,Unraveling Urban Spaces,4.0,,MW,1025 AM,1140 AM,WRTG,Spring,Solveiga Armoskaite
WRTG 105-14,A Beast of a Trope: Examining the Beauty and the Beast Trope in Media,4.0,,TR,200 PM,315 PM,WRTG,Spring,Abbie Boudreaux
WRTG 105-16,Video Games & Play,4.0,,TR,325 PM,440 PM,WRTG,Spring,Kristana Textor
WRTG 105-17,Impacts of Engineering,4.0,,MW,1150 AM,105 PM,WRTG,Spring,Lisabeth Tinelli
WRTG 105-19,American Horror Stories,4.0,,TR,940 AM,1055 AM,WRTG,Spring,Dustin Hannum
WRTG 105-20,The Self-Help Genre,4.0,,TR,325 PM,440 PM,WRTG,Spring,Abdullah Shaikh
WRTG 105-21,Expression at Large: The Arts in the Age of Social Media,4.0,,TR,200 PM,315 PM,WRTG,Spring,Orisa Morrice
WRTG 105-22,Let’s Talk Emotions,4.0,,MW,900 AM,1015 AM,WRTG,Spring,Solveiga Armoskaite
WRTG 105-23,"“Posthuman” Future: The Intersection of A.I., Identity, and Ethics",4.0,,MW,1025 AM,1140 AM,WRTG,Spring,Adma Gama-Krummel
WRTG 105-24,AI and Education,4.0,,TR,1105 AM,1220 PM,WRTG,Spring,One Mushi
WRTG 105-25,Dis/Enchantment,4.0,,MW,1150 AM,105 PM,WRTG,Spring,Michael Ormsbee
WRTG 105-26,Expression at Large: The Arts in the Age of Social Media,4.0,,TR,450 PM,605 PM,WRTG,Spring,Orisa Morrice
WRTG 105-27,Language as Window into Mind,4.0,,TR,200 PM,315 PM,WRTG,Spring,Whitney Gegg-Harrison
WRTG 105-28,Telling Stories on the Internet,4.0,,MW,200 PM,315 PM,WRTG,Spring,Michael Ormsbee
WRTG 105-29,Know Thyself: The Idea of Humanity,4.0,,MW,450 PM,605 PM,WRTG,Spring,Diana Davis
WRTG 105-30,Korean Popular Culture on the Global Stage,4.0,,MW,900 AM,1015 AM,WRTG,Spring,Michael Ormsbee
WRTG 105-31,American Horror Stories,4.0,,TR,1105 AM,1220 PM,WRTG,Spring,Dustin Hannum
WRTG 105-32,What is Human Nature?,4.0,,TR,940 AM,1055 AM,WRTG,Spring,Adam Stauffer
WRTG 105-33,"Writing, Photography and Artificial Intelligence",4.0,,TR,1230 PM,145 PM,WRTG,Spring,Md Mamunur Rashid
WRTG 105-34,Let's Do the Time Warp Again,4.0,,MW,325 PM,440 PM,WRTG,Spring,Emily Lowman
WRTG 105-35,Venturing Out: Making Meaning and Finding Adventure in the Outdoors,4.0,,MW,1150 AM,105 PM,WRTG,Spring,Justin Coyne
WRTG 105-36,Realms of Fantasy,4.0,,MW,900 AM,1015 AM,WRTG,Spring,Daniel Kephart
WRTG 105-37,Friendship,4.0,,TR,1105 AM,1220 PM,WRTG,Spring,Joey Kingsley
WRTG 105-38,Thinking about Thinking: The Human Brain at Work,4.0,,MW,1025 AM,1140 AM,WRTG,Spring,Suzanne Woodring
WRTG 105-39,"""Reality"" TV",4.0,,TR,200 PM,315 PM,WRTG,Spring,Claire Becker
